text,label,language
आज क्लास कितने बजे शुरू होगी?,0,Hindi
कल तुम्हारा प्रेजेंटेशन बहुत अच्छा था!,0,Hindi
"मैं शाम को बाजार जा रहा हूँ, कुछ चाहिए?",0,Hindi
तुम घर पहुंचते ही बता देना।,0,Hindi
पढ़ाई कैसी चल रही है?,0,Hindi
हम लोग रविवार को मूवी प्लान कर रहे हैं।,0,Hindi
आज मौसम बहुत अच्छा है।,0,Hindi
मैंने तुम्हारी किताब मेज पर रख दी है।,0,Hindi
"लैपटॉप चार्ज कर देना, सुबह काम है।",0,Hindi
किराना लेने जाना है क्या?,0,Hindi
"डॉक्यूमेंट्स प्रिंट कर दिए हैं, चिंता मत करो।",0,Hindi
क्या तुमने खाना खाया?,0,Hindi
मैं बस 10 मिनट में पहुँच रहा हूँ।,0,Hindi
आज का टेस्ट कैसा गया?,0,Hindi
"तुमने जो नोट्स भेजे थे, काफी मदद मिली!",0,Hindi
तुम्हारी फ्लाइट कब लैंड करेगी?,0,Hindi
क्या कल लाइब्रेरी चलना है?,0,Hindi
मीटिंग लिंक भेज देना जब बन जाए।,0,Hindi
मैं शाम तक असाइनमेंट पूरा कर लूँगा।,0,Hindi
तुम्हारा फ़ोन स्विच्ड ऑफ़ आ रहा था।,0,Hindi
क्या तुम आज फ्री हो?,0,Hindi
मुझे वो फोटो भेज देना।,0,Hindi
तुमने नया फोन ले लिया क्या?,0,Hindi
लंच ब्रेक में कॉल कर लेना।,0,Hindi
मेरा प्रैक्टिकल अच्छे से हो गया!,0,Hindi
तुम्हारी ट्रेन कितने बजे है?,0,Hindi
कृपया उस फाइल को रीनेम कर देना।,0,Hindi
तुमने नया एपिसोड देखा क्या?,0,Hindi
कल जल्दी निकलना पड़ेगा।,0,Hindi
"ग्रुप में जो असाइनमेंट आया है, देख लिया?",0,Hindi
"तुमने जो गाना भेजा था, बहुत अच्छा है!",0,Hindi
"मैंने मेल कर दी है, चेक कर लेना।",0,Hindi
कल जिम चलोगे?,0,Hindi
मैंने प्रोजेक्ट का डाटा अपडेट कर दिया है।,0,Hindi
आज घर जल्दी जाना है।,0,Hindi
लैब कोट लाना मत भूलना।,0,Hindi
आज ट्रैफिक बहुत था।,0,Hindi
तुम्हारा रिज्यूमे काफी अच्छा लग रहा है!,0,Hindi
क्या हम ये टास्क कल कर सकते हैं?,0,Hindi
नया शेड्यूल आ गया है?,0,Hindi
मैसेज कर देना जब फ्री हो।,0,Hindi
मैं ऑफिस में हूँ अभी।,0,Hindi
तुम्हारे नोट्स बहुत क्लियर हैं।,0,Hindi
मैंने लिंक्स सेव कर लिए हैं।,0,Hindi
"आज बहुत काम है, शाम को बात करेंगे।",0,Hindi
मीटिंग 5 मिनट लेट होगी।,0,Hindi
मैंने तुम्हारी पेन वापस रख दी है।,0,Hindi
यहाँ नेटवर्क बहुत खराब है।,0,Hindi
पानी पीते रहना।,0,Hindi
क्या हम 10 बजे मिलें?,0,Hindi
कृपया ये डॉक्यूमेंट्स पढ़ लेना।,0,Hindi
तुम्हारा लैपटॉप ठीक हो गया क्या?,0,Hindi
मैं कैफेटेरिया में हूँ।,0,Hindi
लंच कर लिया क्या?,0,Hindi
मैंने फोल्डर अपडेट कर दिया है।,0,Hindi
कल कॉलेज भीड़ था।,0,Hindi
मैं घर से काम कर रहा हूँ।,0,Hindi
तुमने नया अपडेट इंस्टॉल किया?,0,Hindi
आज छुट्टी है क्या?,0,Hindi
हम कल प्रोजेक्ट मीटिंग करेंगे।,0,Hindi
यार सच में थक गया हूँ आज।,0,Hindi
तुम्हारी तबियत अब कैसी है?,0,Hindi
किताब मिल गई क्या?,0,Hindi
मैंने लिंक खोल लिया है।,0,Hindi
लैपटॉप रीस्टार्ट कर लो।,0,Hindi
प्रिंटर में पेपर डाल दो।,0,Hindi
मैं रात में पढ़ाई करूँगा।,0,Hindi
होमवर्क बहुत लंबा है आज।,0,Hindi
ग्रुप डिस्कशन अच्छा हुआ!,0,Hindi
मैंने हाजिरी लगा दी है।,0,Hindi
कल वाइवा है याद रखना।,0,Hindi
तुम्हारा प्रोजेक्ट काफी अच्छा है।,0,Hindi
मैं फाइल अपलोड कर रहा हूँ।,0,Hindi
लाइब्रेरी खाली थी आज।,0,Hindi
मैंने सब कुछ नोट कर लिया है।,0,Hindi
आपका बैंक खाता बंद कर दिया गया है। तुरंत सत्यापन करें।,1,Hindi
"आपने ₹25,000 का इनाम जीता है! अभी दावा करें।",1,Hindi
आपका UPI ब्लॉक हो जाएगा। 30 मिनट के अंदर KYC पूरा करें।,1,Hindi
"आपके खाते से ₹40,000 डेबिट हुआ है। यदि यह आपने नहीं किया तो यहाँ क्लिक करें।",1,Hindi
आपका पैन कार्ड निलंबित कर दिया गया है। पुनः सक्रिय करें।,1,Hindi
भारतीय डाक विभाग: आपका पार्सल रोका गया है। शुल्क भरें।,1,Hindi
आपका आधार कार्ड गलत पाया गया है। तुरंत अपडेट करें।,1,Hindi
आपके खाते में संदिग्ध लॉगिन पाया गया। सुरक्षा जांच करें।,1,Hindi
आपकी बिजली का बिल भुगतान नहीं हुआ। सप्लाई बंद की जाएगी।,1,Hindi
आपका फोन नंबर KYC के बिना बंद हो जाएगा।,1,Hindi
आपका ATM कार्ड आज रात 12 बजे से ब्लॉक हो जाएगा। अभी सत्यापन करें।,1,Hindi
"आपके बैंक खाते में ₹75,000 की suspicious activity पाई गई है।",1,Hindi
आपका FASTag ब्लैकलिस्ट किया जा रहा है। जल्द भुगतान करें।,1,Hindi
KYC incomplete होने के कारण आपका wallet बंद हो जाएगा।,1,Hindi
आपके क्रेडिट कार्ड पर नया device login हुआ है।,1,Hindi
आपका इंश्योरेंस पॉलिसी cancel हो रही है। तुरंत renew करें।,1,Hindi
EPFO वेरिफिकेशन पेंडिंग है। आपका PF क्लेम रुक जाएगा।,1,Hindi
