text,label,language,category,source
आपका बैंक खाता बंद कर दिया गया है। तुरंत ओटीपी और कार्ड विवरण भेजें।,1,Hindi,otp,vernacular
कल सुबह 9 बजे मीटिंग है। कृपया समय पर आएं।,0,Hindi,work,vernacular
आपकी KYC सत्यापन विफल हुई। तुरंत आधार और पैन भेजें।,1,Hindi,kyc,vernacular
माता-पिता कैसे हैं? लंबे समय में नहीं बोला।,0,Hindi,family,vernacular
आपके यूपीआई खाते से ₹5000 ट्रांसफर किया गया। तुरंत कार्रवाई करें।,1,Hindi,money,vernacular
স্কুল বন্ধ। আগামীকাল ক্লাস নেই।,0,Bengali,education,vernacular
আপনার ব্যাংক অ্যাকাউন্ট অনুমোদিত হয়নি। এখনই যাচাই করুন এবং ক্রেডিট কার্ড নম্বর পাঠান।,1,Bengali,kyc,vernacular
আজ সন্ধ্যায় বাজারে যাব। তুমি কিছু চাই?।,0,Bengali,personal,vernacular
আপনার ডিভিআই বাতিল করা হয়েছে। তাৎক্ষণিক পুনরায় সক্রিয় করুন।,1,Bengali,credential,vernacular
என்னுடைய வீட்டில் நாளை விழா உண்டு। வந்து விடுவீர்களா?,0,Tamil,family,vernacular
உங்கள் ஆதார்확인 தோல்வியடைந்தது। உடனே உங்கள் கார்ड எண்ணையும் OTP ஐயும் அனுப்பவும்।,1,Tamil,kyc,vernacular
இந்த விவரம் எப்படி? பொதுவாக சரியாக செயல்படுகிறது।,0,Tamil,social,vernacular
உங்கள் UPI লேனদேனம் ₹10000 மீறி சுপারி செய்யப்பட்டுள்ளது। உடனே கணக்கு যাচাই செய்யவும்।,1,Tamil,upi,vernacular
आपकी खातेवर जलद दिवस नष्ट होहैं। तुरंत सत्यापन करो।,1,Marathi,kyc,vernacular
कल बाजारात जाऊ. काही गरज आहे का?,0,Marathi,family,vernacular
आपल्या यूपीआई खाता निलंबित केला गेला आहे। तुरंत पुनः सक्रिय करा।,1,Marathi,utp,vernacular
ગુજરાતી પરીક્ષા આવતા સપ્તાહે છે. અભ્યાસ જરૂર કર.‌,0,Gujarati,education,vernacular
તમારો બેંક ખાતો ફ્લોક કરવામાં આવ્યો છે. તુરંત ચકાસણી કરો અને ક્રેડિટ કાર્ડ વિગતો મોકલો.,1,Gujarati,kyc,vernacular
આ અમુક સમસ્યા તે સંબંધમાં? સામાન્યતઃ યોગ્ય રીતે કાર્ય કરે છે.,0,Gujarati,social,vernacular
আপনার পেমেন্ট ব্যর্থ হয়েছে। তুরন্ত ডেবিট কার্ড দিয়ে পুনরায় চেষ্টা করুন।,1,Punjabi,money,vernacular
ਪਰਸੋਂ ਸਕੂਲ ਖੁੱਲ ਹੈ। ਸਮਾਂ ਸਿਰ ਪਹੂੰਚਨਾ।,0,Punjabi,education,vernacular
ਤੁਹਾਡਾ ਰਜਿਸਟ੍ਰੇਸ਼ਨ ਨੂੰ ਰੱਦ ਕਰ ਦਿੱਤਾ ਗਿਆ ਹੈ। ਤਣਾਜ਼ ਮੁਡ ਕਾਰ ਡੇਟਾ ਅਤੇ ਓ ਟੀ ਪੀ ਮੋਕਲੋ।,1,Punjabi,kyc,vernacular
অসমীয়া পৰীক্ষা কেতিয়া হ'ব?,0,Assamese,education,vernacular
আপোনার অ্যাকাউন্ট সুৰক্ষা লংঘন হৈছে। তুরন্ত সংশোধন কৰক।,1,Assamese,credential,vernacular
আমার কল কৰক যেতিয়া বিনামূলীয় হয়।,0,Assamese,personal,vernacular
നിങ്ങളുടെ ബാങ്ക് അക്കൗണ്ട് നിരോധിച്ചിരിക്കുന്നു. ഉടന്നെ സ്ഥിരീകരണം നടത്തി ക്രെഡിറ്റ് കാർഡ് വിവരങ്ങൾ അയയ്ക്കുക.,1,Malayalam,kyc,vernacular
നാളെ സ്കൂൾ അടച്ചിരിക്കും.,0,Malayalam,education,vernacular
നിങ്ങളുടെ അപ്ലിക്കേഷൻ അംഗീകരിച്ചു. ആനന്ദം! നിങ്ങൾക്ക് വായ്പ ലഭിച്ചു.,0,Malayalam,commerce,vernacular
ನಿಮ್ಮ ಖಾತೆ ನಿಲುಮುಡಿಸಲಾಗಿದೆ. ತಕ್ಷಣ ಪರಿಶೀಲನೆ ಮಾಡಿ ಮತ್ತು ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ ಅಲಿಕಾಲ್ ಮೋಕಳಿ.,1,Kannada,kyc,vernacular
ನೆಲೆ ನಾಲ್ಕು ಅರ್ಧಪೀಠ ತಸ್ಕರಿ ಸೂಚನೆ ತೆಗೆ ನೇರ ಪರೀಕ್ಷೆ.,0,Kannada,education,vernacular
ತೆಲುಗು ಸೀಮೆಯ ಕತೆ ಅದ್ಬುತವಾಗಿದೆ.,0,Kannada,social,vernacular
తెలుగు ప్రశ్న చేస్తే సమాధానమివ్వండి.,0,Telugu,education,vernacular
మీ ఖాతా నిలిపివేయబడింది. అత్యవసరంగా సत్యాపనం చేసి ఆధార్ మరియు పాన్ అంటిపెట్టండి.,1,Telugu,kyc,vernacular
పనిలో విజయం సాధించడానికి చాలా పేదవారిని సహాయం చేయాలి.,0,Telugu,work,vernacular
ओडिया પરીક્ષા આવતા વર્ષે.,0,Odia,education,vernacular
